transfuziolog;Q60176870
transfuzioložka;Q60176870
translatolog;Q49199851
translatoložka;Q49199851
transplantolog;Q7834824
transplantoložka;Q7834824
triatlonista;Q15306067
triatlonistka;Q15306067
trojskokan;Q13848274
trumpetista;Q12377274
trumpetistka;Q12377274
turkolog;Q13210922
turkoložka;Q13210922
učitel;Q37226
učitelka;Q37226
ufolog;Q18921227
ufoložka;Q18921227
ultramaratonec;Q19827218
umělec;Q483501
umělkyně;Q483501
urbanista;Q131062
urbanistka;Q131062
urolog;Q17345122
uroložka;Q17345122
úřednice;Q212238
úředník;Q599151
varhanář;Q1937431
varhanářka;Q1937431
varhanice;Q765778
varhaník;Q765778
včelař;Q852389
včelařka;Q852389
vědec;Q901
vědkyně;Q901
vexilolog;Q58054039
vibrafonista;Q21855974
videograf;Q3766177
vinař;Q897317
violista;Q899758
violistka;Q899758
violoncellista;Q13219637
violoncellistka;Q13219637
virolog;Q15634281
viroložka;Q15634281
vojačka;Q4991371
voják;Q4991371
vojevůdce;Q1402561
vojevůdkyně;Q1402561
vokalista;Q2643890
vokalistka;Q2643890
volejbalista;Q15117302
volejbalistka;Q15117302
vulkanolog;Q7940086
vulkanoložka;Q7940086
vydavatel;Q2516866
vydavatelka;Q2516866
