_id,151a
ge128573,Savojské Alpy (Francie : pohoří)
ge128574,Sedlec-Prčice (Česko : oblast)
ge128575,Sedmihradsko (Rumunsko)
ge128576,Korejská lidově demokratická republika
ge128577,Severní teritorium
ge128578,"Slezská Ostrava (Ostrava, Česko)"
ge128579,Pohansko (Česko : archeologická lokalita)
ge128580,Slovensko
ge128581,"Smíchov (Praha, Česko)"
ge128582,"Sobín (Praha, Česko)"
ge128583,Sovětský svaz
ge128584,Spojené státy americké
ge128585,Srí Lanka
ge128586,"Strašnice (Praha, Česko)"
ge128587,Středozemní moře (oblast)
ge128588,Posázaví (Česko)
ge128589,Tachov (Česko)
ge128590,Tchaj-wan
ge128591,Temešvár (Rumunsko)
ge128592,Tridentsko-Horní Adiže (Itálie : kraj)
ge128593,"Doksy (Česká Lípa, Česko)"
ge128594,"Troja (Praha, Česko)"
ge128595,Tunis (Tunisko)
ge128596,Tunisko
ge128597,Tver‘ (Rusko)
ge128598,Těšínské Slezsko
ge128599,Třeboň (Česko : oblast)
ge128600,Ukrajina západní
ge128601,Bezděz (Česko)
ge128602,"Velká Chuchle (Praha, Česko)"
ge128603,Viborg (Dánsko)
ge128604,Vltava (Česko : řeka : oblast)
ge128605,Povydří (Česko)
ge128606,Východní Alpy (pohoří)
ge128607,"Zbraslav (Praha, Česko)"
ge128608,"Zličín (Praha, Česko)"
ge128609,Zlín (Česko)
ge128610,Západní Alpy (pohoří)
ge128611,Bělá pod Bezdězem (Česko : oblast)
ge128612,Kletno (Polsko : oblast)
ge128613,"Červená Lhota (Bílá Lhota, Česko)"
ge128614,Evropa jihovýchodní
ge128615,Kovačica (Srbsko)
ge128617,Šumava (pohoří)
ge128618,Šumava (pohoří : oblast)
ge128619,Švihov (Česko : vodní nádrž)
ge128620,Českomoravská vrchovina (Česko)
ge128621,Brjansk (Rusko : oblast)
ge128622,Český Těšín (Česko)
ge128623,Český kras (Česko)
ge128624,Český ráj (Česko)
ge128625,Padina (Srbsko)
ge128626,"Řepy (Praha, Česko)"
ge128627,Åsum (Dánsko)
ge128628,Haute-Loire (Francie)
ge128629,Bezdružice (Česko)
ge128631,Abakan (Rusko : řeka : oblast)
ge128632,Abertamy (Česko)
ge128633,Abúsír (Egypt : archeologická lokalita)
ge128634,"Adamov (Blansko, Česko)"
ge128635,Admont (Rakousko)
ge128636,Adršpašsko-teplické skály (Česko)
ge128638,Lučenec (Slovensko : oblast)
ge128639,Afrika jižní
ge128640,Afrika severní
ge128641,Afrika střední
ge128642,Afrika subsaharská
ge128643,Afrika východní
ge128644,Afrika západní
ge128645,"Chlumčany (Plzeň-jih, Česko : oblast)"
ge128646,"Akagi (Gumma, Japonsko)"
ge128647,Akureyri (Island)
ge128648,Albedo (Arizona)
ge128649,Albrechtice nad Orlicí (Česko)
ge128650,Albrechtice nad Vltavou (Česko)
ge128651,Albánie
ge128652,Alcalá de Guadaría (Španělsko)
ge128653,Alfatar (Bulharsko)
ge128654,Aljaška
ge128655,Alsasko (Francie)
ge128656,"Altona (Hamburk, Německo)"
ge128657,"Alšovo nábřeží (Praha, Česko)"
ge128658,Alžírsko
ge128659,Amazonka (řeka)
ge128660,Ammán (Jordánsko)
ge128661,Amsterdam (Nizozemsko)
ge128662,Anak (Korea)
ge128663,Andalusie (Španělsko)
ge128664,Andamany a Nikobary (Indie : souostroví)
ge128665,Andorra
ge128666,Angkor (Kambodža)
ge128667,Angola
ge128668,Angoulême (Francie)
ge128669,Antverpy (Belgie)
ge128670,Anzio (Itálie)
ge128671,Aosta (Itálie)
ge128672,Apeninský poloostrov
ge128673,Al-Aqabah (Jordánsko)
ge128674,Arabský poloostrov
ge128675,"Dobřany (Plzeň-jih, Česko : oblast)"
ge128676,Argentina
ge128677,Arizona
ge128678,Armagnac (Francie)
ge128679,Arménie
ge128680,severní polokoule
ge128681,Artois (Francie)
ge128682,Asie jihovýchodní
ge128683,Asie jižní
ge128684,Asie severní
ge128685,Asie střední
ge128686,Asie východní
ge128687,"Červená Lhota (Pluhův Žďár, Česko)"
ge128688,Assisi (Itálie)
ge128689,Asturie (Španělsko)
ge128690,Guadalupe (Mexiko)
ge128691,Athos (Řecko)
ge128692,Athény (starověký řecký stát)
ge128693,Athény (Řecko)
ge128694,Aube (Francie)
ge128695,Austrálie
