place,QID
Kvasinách u Rychnova nad Kněžnou,Q1794829
Ledvicích,Q1632475
Leopoldově,Q12033013
Lidicích,Q154888
Lišově u Českých Budějovic,Q1564700
Lomnici u Tišnova,Q1444845
Loučanech u Olomouce,Q1782126
Malešově u Kutné Hory,Q1887287
Malíně u Kutné Hory,Q12035119
Městě Albrechticích,Q1019339
Mirovicích u Písku,Q1641693
Mohuči,Q1720
Moravském Berouně,Q1015933
Morkovicích u Kroměříže,Q12038702
Nákle,Q633193
Novém Městě pod Smrkem,Q1861148
Nürnbergu,Q2090
Obříství,Q2699455
Padově,Q617
Pasekách nad Jizerou,Q2055546
Pezinku,Q659424
Pise,Q13375
Pivíně,Q2637421
Plaňanech,Q2615494
Plasích,Q1008589
Podolí u Brna,Q685268
Prusinovicích,Q775815
Rábu u Pardubic,Q507958
Radomyšli u Strakonic,Q1088799
Ratajích nad Sázavou,Q2132370
Rohatci,Q2660139
Rokytnici nad Jizerou,Q1894625
Roštíně,Q615978
Rychvaldu,Q1018854
Řevnicích u Prahy,Q386858
Slatiňanech u Chrudimi,Q1757182
Slatině nad Zdobnicí,Q1902550
Slavkově u Opavy,Q2524196
Staré Bělé,Q3509889
Strašicích u Rokycan,Q1935879
Stráži pod Ralskem,Q1761686
Strážnici na Moravě,Q304189
Svobodných Dvorech u Hradce Králové,Q12057651
Šenově,Q331306
Temelíně,Q1761699
Teplicích nad Metují,Q280873
Tvarožné u Brna,Q1789630
Tvrdonicích,Q1023834
Utrechtu,Q803
Važci,Q1091398
Velkých Popovicích,Q205228
Vilniusu,Q216
Vranově u Brna,Q700173
Výmaru,Q3955
Wittenbergu,Q6837
Zábřehu nad Odrou,Q246628
Zbiroze,Q168234
Zborovicích u Kroměříže,Q168265
Zlaté Koruně,Q207212
Zlonicích u Slaného,Q207261
Žďáru na Moravě,Q394453
Žinkovech,Q394082
Žluticích,Q394241
Bělovsi u Náchoda,Q12034575
Beňově u Přerova,Q854614
Bezděkově u Klatov,Q853468
Bohušovicích nad Ohří,Q891004
Bojnici,Q788753
Brandýsku,Q2538228
Brescii,Q6221
Buštěhradu,Q158423
Cedar Rapids,Q486439
Cerhovicích,Q2041832
Cerhovicích u Hořovic,Q2041832
Cetkovicích,Q1057771
Čelechovicích na Hané,Q1869851
Dačicích na Moravě,Q1013843
Dambořicích,Q1158317
Daruvaru,Q399430
Davli,Q1111391
Dětenicích,Q1272631
Dobřanech u Plzně,Q1019360
Dolních Břežanech,Q2697750
Dolních Kralovicích,Q1236096
Dolních Štěpanicích,Q11818134
Dolním Bukovsku,Q1146788
Dolním Němčí,Q1022399
Domaželicích u Přerova,Q1021110
Doubravce u Plzně,Q11823676
Doubravici nad Svitavou,Q1251587
Doubravníku u Tišnova,Q1251610
Drnovicích u Vyškova,Q1259475
Dřevíkově u Hlinska,Q5321270
Ferraře,Q13362
Freiburgu,Q36378
Frýdlantě v Čechách,Q986077
Göttingenu,Q3033
Halenkově u Vsetína,Q1022338
Hamburgu,Q1055
Hodkovicích nad Mohelkou,Q29704
Horní Bříze,Q1407742
Horním Ročově,Q12020254
Horním Štěpánově,Q1628812
Hrobech u Tábora,Q12020724
Huštěnovicích,Q1022227
Hýskově,Q1652713
Cholině,Q744601
Jablonci nad Jizerou,Q1676863
Jasenové,Q775455
Jiřicích u Humpolce,Q164465
Kamenných Žehrovicích,Q2427060
Kasejovicích u Blatné,Q1641787
